Age,Gender,Income,Education,Marital Status,Number of Children,Home Ownership,Credit Score
25,Female,50000,Bachelor's Degree,Single,0,Rented,High
30,Male,100000,Master's Degree,Married,2,Owned,High
35,Female,75000,Doctorate,Married,1,Owned,High
40,Male,125000,High School Diploma,Single,0,Owned,High
45,Female,100000,Bachelor's Degree,Married,3,Owned,High
50,Male,150000,Master's Degree,Married,0,Owned,High
26,Female,40000,Associate's Degree,Single,0,Rented,Average
31,Male,60000,Bachelor's Degree,Single,0,Rented,Average
36,Female,80000,Master's Degree,Married,2,Owned,High
41,Male,105000,Doctorate,Single,0,Owned,High
46,Female,90000,High School Diploma,Married,1,Owned,High
51,Male,135000,Bachelor's Degree,Married,0,Owned,High
27,Female,35000,High School Diploma,Single,0,Rented,Low
32,Male,55000,Associate's Degree,Single,0,Rented,Average
37,Female,70000,Bachelor's Degree,Married,2,Owned,High
42,Male,95000,Master's Degree,Single,0,Owned,High
47,Female,85000,Doctorate,Married,1,Owned,High
52,Male,125000,High School Diploma,Married,0,Owned,High
28,Female,30000,Associate's Degree,Single,0,Rented,Low
33,Male,50000,High School Diploma,Single,0,Rented,Average
38,Female,65000,Bachelor's Degree,Married,2,Owned,High
43,Male,80000,Master's Degree,Single,0,Owned,High
48,Female,70000,Doctorate,Married,1,Owned,High
53,Male,115000,Associate's Degree,Married,0,Owned,High
29,Female,25000,High School Diploma,Single,0,Rented,Low
34,Male,45000,Associate's Degree,Single,0,Rented,Average
39,Female,60000,Bachelor's Degree,Married,2,Owned,High
44,Male,75000,Master's Degree,Single,0,Owned,High
49,Female,65000,Doctorate,Married,1,Owned,High
25,Female,55000,Bachelor's Degree,Single,0,Rented,Average
30,Male,105000,Master's Degree,Married,2,Owned,High
35,Female,80000,Doctorate,Married,1,Owned,High
40,Male,130000,High School Diploma,Single,0,Owned,High
45,Female,105000,Bachelor's Degree,Married,3,Owned,High
50,Male,155000,Master's Degree,Married,0,Owned,High
26,Female,45000,Associate's Degree,Single,0,Rented,Average
31,Male,65000,Bachelor's Degree,Single,0,Rented,Average
36,Female,85000,Master's Degree,Married,2,Owned,High
41,Male,110000,Doctorate,Single,0,Owned,High
46,Female,95000,High School Diploma,Married,1,Owned,High
51,Male,140000,Bachelor's Degree,Married,0,Owned,High
27,Female,37500,High School Diploma,Single,0,Rented,Low
32,Male,57500,Associate's Degree,Single,0,Rented,Average
37,Female,72500,Bachelor's Degree,Married,2,Owned,High
42,Male,100000,Master's Degree,Single,0,Owned,High
47,Female,90000,Doctorate,Married,1,Owned,High
52,Male,130000,High School Diploma,Married,0,Owned,High
28,Female,32500,Associate's Degree,Single,0,Rented,Low
33,Male,52500,High School Diploma,Single,0,Rented,Average
38,Female,67500,Bachelor's Degree,Married,2,Owned,High
43,Male,92500,Master's Degree,Single,0,Owned,High
48,Female,82500,Doctorate,Married,1,Owned,High
53,Male,122500,Associate's Degree,Married,0,Owned,High
29,Female,27500,High School Diploma,Single,0,Rented,Low
34,Male,47500,Associate's Degree,Single,0,Rented,Average
39,Female,62500,Bachelor's Degree,Married,2,Owned,High
44,Male,87500,Master's Degree,Single,0,Owned,High
49,Female,77500,Doctorate,Married,1,Owned,High
25,Female,57500,Bachelor's Degree,Single,0,Rented,Average
30,Male,112500,Master's Degree,Married,2,Owned,High
35,Female,85000,Doctorate,Married,1,Owned,High
25,Female,60000,Bachelor's Degree,Single,0,Rented,Average
30,Male,117500,Master's Degree,Married,2,Owned,High
35,Female,90000,Doctorate,Married,1,Owned,High
40,Male,142500,High School Diploma,Single,0,Owned,High
45,Female,110000,Bachelor's Degree,Married,3,Owned,High
50,Male,160000,Master's Degree,Married,0,Owned,High
26,Female,47500,Associate's Degree,Single,0,Rented,Average
31,Male,67500,Bachelor's Degree,Single,0,Rented,Average
36,Female,90000,Master's Degree,Married,2,Owned,High
41,Male,115000,Doctorate,Single,0,Owned,High
46,Female,97500,High School Diploma,Married,1,Owned,High
51,Male,145000,Bachelor's Degree,Married,0,Owned,High
27,Female,37500,High School Diploma,Single,0,Rented,Low
32,Male,57500,Associate's Degree,Single,0,Rented,Average
37,Female,75000,Bachelor's Degree,Married,2,Owned,High
42,Male,105000,Master's Degree,Single,0,Owned,High
47,Female,95000,Doctorate,Married,1,Owned,High
52,Male,135000,High School Diploma,Married,0,Owned,High
28,Female,32500,Associate's Degree,Single,0,Rented,Low
33,Male,52500,High School Diploma,Single,0,Rented,Average
38,Female,67500,Bachelor's Degree,Married,2,Owned,High
43,Male,92500,Master's Degree,Single,0,Owned,High
48,Female,85000,Doctorate,Married,1,Owned,High
53,Male,125000,Associate's Degree,Married,0,Owned,High
29,Female,27500,High School Diploma,Single,0,Rented,Low
34,Male,47500,Associate's Degree,Single,0,Rented,Average
39,Female,62500,Bachelor's Degree,Married,2,Owned,High
44,Male,87500,Master's Degree,Single,0,Owned,High
49,Female,77500,Doctorate,Married,1,Owned,High
25,Female,57500,Bachelor's Degree,Single,0,Rented,Average
30,Male,112500,Master's Degree,Married,2,Owned,High
35,Female,85000,Doctorate,Married,1,Owned,High
25,Female,62500,Bachelor's Degree,Single,0,Rented,Average
